Year,Host_City,Host_Country,Country,Gold,Silver,Bronze,M_Total,Men,Women,P_Total,Population,Latitude,Longtitude,Participation_Per_Ten_Million,Discipline,Age,Country,Gender
2020,Tokyo,Japan,Mali,0,0,0,0,1,1,2,2548663,-22.95764,18.49041,52.31501118,Equestrian,62,Ireland,Female
2020,Tokyo,Japan,Malta,0,0,0,0,1,1,2,29225196,28.394857,84.124008,4.562273366,Judo,34,Canada,Female
2020,Tokyo,Japan,Mauritius,0,0,0,0,1,3,4,17141544,52.132633,5.291266,15.5567472,Athletics,29,Thailand,Female
2020,Tokyo,Japan,Mexico,7,2,13,22,31,29,60,4829021,-40.900557,174.885971,828.3252444,Athletics,28,Nigeria,Male
2020,Tokyo,Japan,Mongolia,1,0,0,1,7,4,11,6638075,12.865416,-85.207229,110.4737945,Athletics,20,RPC,Female
2020,Tokyo,Japan,Montenegro,0,0,1,1,4,1,5,24346468,17.607789,8.081666,13.69123987,Shooting,37,Brazil,Male
2020,Tokyo,Japan,Morocco,4,4,3,11,23,13,36,206984347,9.081999,8.675277,11.5950797,Swimming,21,Australia,Male
2020,Tokyo,Japan,Mozambique,0,0,0,0,1,1,2,2083359,41.608635,21.745275,63.99921153,Athletics,36,United States of America,Male
2020,Tokyo,Japan,Namibia,0,1,1,2,2,1,3,5428594,60.472024,8.468946,36.84195208,Shooting,49,Greece,Male
2020,Tokyo,Japan,Nepal,0,0,0,0,0,1,1,5128058,21.512583,55.923255,13.00037298,Judo,25,Georgia,Male
2020,Tokyo,Japan,Netherlands,25,17,17,59,33,41,74,221612785,30.375321,69.345116,22.26105021,Taekwondo,22,Philippines,Male
2020,Tokyo,Japan,New Zealand,6,3,3,12,16,16,32,5121112,31.952162,35.233154,416.5761915,Taekwondo,25,Mongolia,Male
2020,Tokyo,Japan,Nicaragua,0,0,0,0,1,1,2,4326296,8.537981,-80.782127,30.81928128,Athletics,32,People's Republic of China,Female
2020,Tokyo,Japan,Niger,0,0,0,0,1,1,2,8975531,-6.314993,143.95555,14.85520281,Archery,38,People's Republic of China,Female
2020,Tokyo,Japan,Nigeria,4,1,5,10,10,12,22,7147553,-23.442503,-58.443832,205.1984318,Sitting Volleyball,33,People's Republic of China,Male
2020,Tokyo,Japan,North Macedonia,0,0,0,0,0,1,1,331341050,37.09024,-95.712891,0.201202558,Sitting Volleyball,30,People's Republic of China,Female
2020,Tokyo,Japan,Norway,2,0,2,4,5,10,15,33050211,-9.189967,-75.015152,30.25699291,Swimming,22,Ukraine,Male
2020,Tokyo,Japan,Oman,0,0,1,1,2,1,3,109830324,12.879721,121.774017,1.820990713,Swimming,23,Brazil,Male
2020,Tokyo,Japan,Pakistan,1,0,0,1,1,1,2,37839255,51.919438,19.145136,3.52367755,Wheelchair Basketball,37,Colombia,Male
2020,Tokyo,Japan,Palestine,0,0,0,0,1,0,1,10191409,39.399872,-8.224454,6.541457287,Athletics,18,Spain,Female
2020,Tokyo,Japan,Panama,0,0,0,0,2,1,3,2846860,18.220833,-66.590149,70.25283997,Taekwondo,18,Mexico,Male
2020,Tokyo,Japan,Papua New Guinea,0,0,0,0,1,1,2,2889284,25.354826,51.183884,46.14753459,Cycling Road,41,Spain,Male
2020,Tokyo,Japan,Paraguay,0,0,0,0,1,1,2,51276977,35.907757,127.766922,2.600257292,Wheelchair Basketball,39,Spain,Male
2020,Tokyo,Japan,People's Republic of China,96,60,51,207,120,136,256,4032294,47.411631,28.369885,4232.495613,Athletics,26,Venezuela,Female
2020,Tokyo,Japan,Peru,1,0,0,1,7,4,11,19214608,45.943161,24.96676,38.16540693,Triathlon,37,Spain,Male
2020,Tokyo,Japan,Philippines,0,0,0,0,4,0,4,1440297825,35.86166,104.195397,0.185146893,Powerlifting,47,Peru,Male
2020,Tokyo,Japan,Poland,7,6,12,25,55,36,91,13005303,-1.940278,29.873888,466.4763802,Swimming,32,United States of America,Male
2020,Tokyo,Japan,Portugal,0,0,2,2,24,10,34,#N/A,#N/A,#N/A,#N/A,Table Tennis,45,Austria,Male
2020,Tokyo,Japan,Puerto Rico,0,0,0,0,2,1,3,34905942,23.885942,45.079162,5.729683502,Swimming,20,RPC,Male
2020,Tokyo,Japan,Qatar,0,0,1,1,1,1,2,16816539,14.497401,-14.452362,7.928702412,Swimming,18,Spain,Male
2020,Tokyo,Japan,Refugee Paralympic Team,0,0,0,0,5,1,6,8731081,44.016521,21.005859,45.81334201,Powerlifting,40,Chile,Male
2020,Tokyo,Japan,Republic of Korea,2,10,12,24,57,28,85,8004158,8.460555,-11.779889,707.9653683,Cycling Road,54,Venezuela,Male
2020,Tokyo,Japan,Republic of Moldova,0,0,0,0,4,2,6,5858322,1.352083,103.819836,68.27893721,Cycling Track,54,Venezuela,Male
2020,Tokyo,Japan,Romania,0,1,1,2,8,1,9,5460109,48.669026,19.699024,109.8879162,Table Tennis,24,Argentina,Female
2020,Tokyo,Japan,RPC,36,33,49,118,134,114,248,2078989,46.151241,14.995463,7952.583363,Cycling Road,41,Spain,Male
2020,Tokyo,Japan,Rwanda,0,0,0,0,1,13,14,15965848,5.152149,46.199616,58.45811217,Swimming,28,Spain,Female
2020,Tokyo,Japan,Sao Tome and Principe,0,0,0,0,1,0,1,59436725,-30.559482,22.937506,1.121640983,Athletics,27,Azerbaijan,Male
2020,Tokyo,Japan,Saudi Arabia,0,0,1,1,5,2,7,46757980,40.463667,-3.74922,9.98047107,Judo,39,Azerbaijan,Male
2020,Tokyo,Japan,Senegal,0,0,0,0,2,1,3,21428970,7.873054,80.771797,9.333159737,Athletics,30,Algeria,Female
2020,Tokyo,Japan,Serbia,2,3,1,6,13,7,20,#N/A,#N/A,#N/A,#N/A,Archery,42,Hungary,Male
2020,Tokyo,Japan,Sierra Leone,0,0,0,0,1,1,2,10110233,60.128161,18.643501,13.18795851,Athletics,29,Croatia,Male
2020,Tokyo,Japan,Singapore,2,0,0,2,5,6,11,8665615,46.818188,8.227512,84.62565361,Archery,44,RPC,Male
2020,Tokyo,Japan,Slovakia,5,2,4,11,21,7,28,17500658,34.8149,39.0465,106.6626562,Cycling Road,52,Canada,Female
2020,Tokyo,Japan,Slovenia,0,1,1,2,7,0,7,9573310,38.861034,71.276093,48.74663692,Judo,33,Argentina,Male
2020,Tokyo,Japan,Somalia,0,0,0,0,1,0,1,69830779,15.870032,100.992541,0.954688858,Judo,27,Spain,Male
2020,Tokyo,Japan,South Africa,4,1,2,7,20,14,34,8310934,8.619543,0.824782,272.7330847,Athletics,34,RPC,Male
2020,Tokyo,Japan,Spain,9,15,12,36,93,44,137,11839918,33.886917,9.537499,771.4017389,Swimming,29,Philippines,Male
2020,Tokyo,Japan,Sri Lanka,1,0,1,2,8,1,9,84495243,38.963745,35.243322,7.100991472,Athletics,38,Brazil,Female
2020,Tokyo,Japan,St Vincent and the Grenadines,0,0,0,0,1,0,1,45974931,1.373333,32.290275,1.450065617,Wheelchair Fencing,32,United States of America,Female
2020,Tokyo,Japan,Sweden,1,5,2,8,12,17,29,43686577,48.379433,31.16558,44.25463074,Shooting,24,United States of America,Female
2020,Tokyo,Japan,Switzerland,7,4,3,14,8,13,21,9910892,23.424076,53.847818,141.2587283,Athletics,21,France,Male
2020,Tokyo,Japan,Syrian Arab Republic,0,0,0,0,1,2,3,60012400,-6.369028,34.888822,3.332644587,Athletics,44,Austria,Male
2020,Tokyo,Japan,Tajikistan,0,0,0,0,1,0,1,331341050,37.09024,-95.712891,0.201202558,Equestrian,57,Switzerland,Female
2020,Tokyo,Japan,Thailand,5,5,8,18,50,26,76,3475842,-32.522779,-55.765835,1457.680374,Athletics,28,France,Female
2020,Tokyo,Japan,Togo,0,0,0,0,0,1,1,33551824,41.377491,64.585262,1.986975929,Athletics,44,Belgium,Male
2020,Tokyo,Japan,Tunisia,4,5,2,11,12,13,25,28421581,6.42375,-66.58973,58.64088513,Athletics,36,United States of America,Male
2020,Tokyo,Japan,Turkey,2,4,9,15,43,44,87,97490013,14.058324,108.277199,59.49327343,Equestrian,46,Belgium,Female
2020,Tokyo,Japan,Uganda,0,0,1,1,1,3,4,104398,18.420695,-64.639968,2554.32735,Wheelchair Tennis,32,Belgium,Male
2020,Tokyo,Japan,Ukraine,24,47,27,98,80,59,139,29935468,15.552727,48.516388,309.5547618,Goalball,22,RPC,Female
2020,Tokyo,Japan,United Arab Emirates,1,1,1,3,7,5,12,18468257,-13.133897,27.849332,43.31756917,Wheelchair Tennis,34,Slovakia,Male
2020,Tokyo,Japan,United Republic of Tanzania,0,0,0,0,1,1,2,14899771,-19.015438,29.154857,8.948683395,Rowing,54,United States of America,Male
2020,Tokyo,Japan,United States of America,37,36,31,104,120,123,243,9015361,47.516231,14.550072,1796.933035,Equestrian,38,France,Female
2020,Tokyo,Japan,Uruguay,0,0,0,0,1,1,2,11598451,50.503887,4.469936,11.49578796,Athletics,19,Australia,Male
2020,Tokyo,Japan,Uzbekistan,8,5,6,19,25,19,44,37799407,56.130366,-106.346771,77.60262835,Wheelchair Basketball,34,Islamic Republic of Iran,Male
2020,Tokyo,Japan,Venezuela,3,2,2,7,13,14,27,10732559,50.073658,14.41854,167.7139627,Table Tennis,42,Tunisia,Male
2020,Tokyo,Japan,Vietnam,0,1,0,1,4,3,7,5542237,61.92411,25.748151,84.20186049,Athletics,21,Greece,Male
2020,Tokyo,Japan,US Virgin Islands,0,0,0,0,0,1,1,65298930,46.227638,2.213749,1.020945775,Powerlifting,38,France,Female
2020,Tokyo,Japan,Yemen,0,0,0,0,1,1,2,67948282,55.378051,-3.435973,1.962276741,Football 5-a-side,27,Morocco,Male
2020,Tokyo,Japan,Zambia,0,0,0,0,0,1,1,126407422,36.204824,138.252924,0.527395193,Swimming,26,Italy,Female
2020,Tokyo,Japan,Zimbabwe,0,0,0,0,0,2,2,5428594,60.472024,8.468946,24.56130139,Wheelchair Basketball,48,Algeria,Female
,,,,,,,,,,,,,,,Cycling Road,39,Poland,Male
,,,,,,,,,,,,,,,Wheelchair Tennis,25,Costa Rica,Male
,,,,,,,,,,,,,,,Athletics,36,United States of America,Male
,,,,,,,,,,,,,,,Swimming,19,Italy,Female
,,,,,,,,,,,,,,,Wheelchair Fencing,26,Great Britain,Male
,,,,,,,,,,,,,,,Cycling Road,38,RPC,Male
,,,,,,,,,,,,,,,Cycling Track,38,RPC,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,32,Republic of Korea,Male
,,,,,,,,,,,,,,,Swimming,28,Argentina,Female
,,,,,,,,,,,,,,,Athletics,37,Argentina,Male
,,,,,,,,,,,,,,,Athletics,19,Canada,Male
,,,,,,,,,,,,,,,Wheelchair Fencing,27,Italy,Male
,,,,,,,,,,,,,,,Swimming,36,Colombia,Male
,,,,,,,,,,,,,,,Athletics,24,Uzbekistan,Male
,,,,,,,,,,,,,,,Taekwondo,42,Denmark,Female
,,,,,,,,,,,,,,,Swimming,24,Greece,Female
,,,,,,,,,,,,,,,Athletics,28,Poland,Male
,,,,,,,,,,,,,,,Swimming,23,RPC,Male
,,,,,,,,,,,,,,,Table Tennis,24,Thailand,Male
,,,,,,,,,,,,,,,Swimming,25,Brazil,Male
,,,,,,,,,,,,,,,Athletics,34,RPC,Male
,,,,,,,,,,,,,,,Table Tennis,56,United States of America,Male
,,,,,,,,,,,,,,,Sitting Volleyball,47,Bosnia and Herzegovina,Male
,,,,,,,,,,,,,,,Goalball,29,Algeria,Male
,,,,,,,,,,,,,,,Sitting Volleyball,29,RPC,Female
,,,,,,,,,,,,,,,Triathlon,38,Australia,Male
,,,,,,,,,,,,,,,Archery,45,Brazil,Female
,,,,,,,,,,,,,,,Sitting Volleyball,28,Islamic Republic of Iran,Male
,,,,,,,,,,,,,,,Swimming,25,Poland,Male
,,,,,,,,,,,,,,,Athletics,30,Brazil,Male
,,,,,,,,,,,,,,,Goalball,27,Brazil,Female
,,,,,,,,,,,,,,,Rowing,41,Brazil,Male
,,,,,,,,,,,,,,,Swimming,35,Brazil,Female
,,,,,,,,,,,,,,,Cycling Road,26,Brazil,Male
,,,,,,,,,,,,,,,Cycling Track,26,Brazil,Male
,,,,,,,,,,,,,,,Athletics,21,Colombia,Male
,,,,,,,,,,,,,,,Athletics,17,United States of America,Male
,,,,,,,,,,,,,,,Cycling Road,41,Argentina,Male
,,,,,,,,,,,,,,,Cycling Track,41,Argentina,Male
,,,,,,,,,,,,,,,Boccia,43,Portugal,Female
,,,,,,,,,,,,,,,Football 5-a-side,31,Brazil,Male
,,,,,,,,,,,,,,,Football 5-a-side,27,Brazil,Male
,,,,,,,,,,,,,,,Athletics,26,Brazil,Male
,,,,,,,,,,,,,,,Swimming,28,Brazil,Male
,,,,,,,,,,,,,,,Athletics,29,RPC,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,29,Canada,Male
,,,,,,,,,,,,,,,Sitting Volleyball,39,People's Republic of China,Female
,,,,,,,,,,,,,,,Shooting,23,United States of America,Male
,,,,,,,,,,,,,,,Swimming,19,RPC,Female
,,,,,,,,,,,,,,,Table Tennis,40,Chile,Male
,,,,,,,,,,,,,,,Athletics,25,Venezuela,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,16,United States of America,Female
,,,,,,,,,,,,,,,Judo,28,Argentina,Female
,,,,,,,,,,,,,,,Swimming,21,Colombia,Female
,,,,,,,,,,,,,,,Athletics,27,Mexico,Male
,,,,,,,,,,,,,,,Athletics,19,Switzerland,Female
,,,,,,,,,,,,,,,Rowing,34,United States of America,Female
,,,,,,,,,,,,,,,Judo,28,United States of America,Male
,,,,,,,,,,,,,,,Athletics,31,Montenegro,Female
,,,,,,,,,,,,,,,Athletics,32,Poland,Male
,,,,,,,,,,,,,,,Swimming,22,Israel,Female
,,,,,,,,,,,,,,,Cycling Road,35,Ireland,Male
,,,,,,,,,,,,,,,Cycling Track,35,Ireland,Male
,,,,,,,,,,,,,,,Athletics,26,United States of America,Male
,,,,,,,,,,,,,,,Rowing,38,Israel,Female
,,,,,,,,,,,,,,,Athletics,39,RPC,Female
,,,,,,,,,,,,,,,Badminton,39,Israel,Female
,,,,,,,,,,,,,,,Athletics,22,South Africa,Female
,,,,,,,,,,,,,,,Taekwondo,17,Nepal,Female
,,,,,,,,,,,,,,,Athletics,22,Mozambique,Female
,,,,,,,,,,,,,,,Swimming,33,Portugal,Male
,,,,,,,,,,,,,,,Athletics,30,Croatia,Female
,,,,,,,,,,,,,,,Cycling Road,51,Switzerland,Female
,,,,,,,,,,,,,,,Cycling Road,21,Great Britain,Male
,,,,,,,,,,,,,,,Cycling Track,21,Great Britain,Male
,,,,,,,,,,,,,,,Wheelchair Rugby,34,Australia,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,25,Colombia,Male
,,,,,,,,,,,,,,,Swimming,23,RPC,Male
,,,,,,,,,,,,,,,Athletics,57,Jamaica,Female
,,,,,,,,,,,,,,,Cycling Road,35,Guyana,Male
,,,,,,,,,,,,,,,Athletics,38,Great Britain,Male
,,,,,,,,,,,,,,,Table Tennis,33,Germany,Female
,,,,,,,,,,,,,,,Cycling Road,23,Australia,Female
,,,,,,,,,,,,,,,Cycling Track,23,Australia,Female
,,,,,,,,,,,,,,,Wheelchair Rugby,36,Canada,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,30,Canada,Male
,,,,,,,,,,,,,,,Swimming,16,Australia,Female
,,,,,,,,,,,,,,,Triathlon,28,United States of America,Female
,,,,,,,,,,,,,,,Athletics,22,United States of America,Male
,,,,,,,,,,,,,,,Swimming,28,RPC,Male
,,,,,,,,,,,,,,,Athletics,23,New Zealand,Female
,,,,,,,,,,,,,,,Wheelchair Rugby,33,Great Britain,Female
,,,,,,,,,,,,,,,Cycling Road,32,Ireland,Male
,,,,,,,,,,,,,,,Cycling Track,32,Ireland,Male
,,,,,,,,,,,,,,,Boccia,31,Colombia,Male
,,,,,,,,,,,,,,,Swimming,24,United States of America,Male
,,,,,,,,,,,,,,,Cycling Road,38,Austria,Male
,,,,,,,,,,,,,,,Athletics,35,RPC,Male
,,,,,,,,,,,,,,,Cycling Road,44,Brazil,Male
,,,,,,,,,,,,,,,Cycling Track,44,Brazil,Male
,,,,,,,,,,,,,,,Canoe Sprint,43,RPC,Male
,,,,,,,,,,,,,,,Cycling Track,23,Netherlands,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,27,Germany,Female
,,,,,,,,,,,,,,,Cycling Road,46,United States of America,Male
,,,,,,,,,,,,,,,Table Tennis,29,Poland,Male
,,,,,,,,,,,,,,,Wheelchair Fencing,21,People's Republic of China,Female
,,,,,,,,,,,,,,,Table Tennis,21,People's Republic of China,Female
,,,,,,,,,,,,,,,Powerlifting,31,People's Republic of China,Male
,,,,,,,,,,,,,,,Table Tennis,29,Brazil,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,43,Algeria,Male
,,,,,,,,,,,,,,,Athletics,25,Tunisia,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,22,Germany,Male
,,,,,,,,,,,,,,,Powerlifting,36,Algeria,Female
,,,,,,,,,,,,,,,Athletics,28,Brazil,Male
,,,,,,,,,,,,,,,Athletics,36,Mexico,Female
,,,,,,,,,,,,,,,Athletics,28,Peru,Male
,,,,,,,,,,,,,,,Swimming,22,Israel,Female
,,,,,,,,,,,,,,,Sitting Volleyball,23,Brazil,Female
,,,,,,,,,,,,,,,Wheelchair Fencing,37,Brazil,Male
,,,,,,,,,,,,,,,Athletics,35,Burkina Faso,Female
,,,,,,,,,,,,,,,Athletics,24,Costa Rica,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,22,Turkey,Male
,,,,,,,,,,,,,,,Goalball,16,Turkey,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,39,Turkey,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,21,Turkey,Male
,,,,,,,,,,,,,,,Goalball,30,Turkey,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,35,Turkey,Male
,,,,,,,,,,,,,,,Swimming,21,Iceland,Male
,,,,,,,,,,,,,,,Powerlifting,31,People's Republic of China,Female
,,,,,,,,,,,,,,,Table Tennis,32,People's Republic of China,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,39,Turkey,Male
,,,,,,,,,,,,,,,Taekwondo,25,Turkey,Female
,,,,,,,,,,,,,,,Badminton,29,RPC,Female
,,,,,,,,,,,,,,,Shooting,54,Hungary,Male
,,,,,,,,,,,,,,,Athletics,24,India,Male
,,,,,,,,,,,,,,,Shooting,40,Sweden,Male
,,,,,,,,,,,,,,,Powerlifting,21,Malaysia,Male
,,,,,,,,,,,,,,,Swimming,19,Mexico,Male
,,,,,,,,,,,,,,,Swimming,20,Mexico,Male
,,,,,,,,,,,,,,,Football 5-a-side,34,Spain,Male
,,,,,,,,,,,,,,,Boccia,36,RPC,Male
,,,,,,,,,,,,,,,Athletics,27,Bhutan,Male
,,,,,,,,,,,,,,,Swimming,20,Costa Rica,Female
,,,,,,,,,,,,,,,Athletics,41,Belgium,Male
,,,,,,,,,,,,,,,Athletics,34,Luxembourg,Male
,,,,,,,,,,,,,,,Football 5-a-side,21,Morocco,Male
,,,,,,,,,,,,,,,Sitting Volleyball,30,Germany,Male
,,,,,,,,,,,,,,,Cycling Road,23,Netherlands,Female
,,,,,,,,,,,,,,,Athletics,34,Belgium,Female
,,,,,,,,,,,,,,,Shooting,41,Switzerland,Female
,,,,,,,,,,,,,,,Wheelchair Rugby,36,Japan,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,27,Japan,Female
,,,,,,,,,,,,,,,Goalball,19,Japan,Female
,,,,,,,,,,,,,,,Athletics,23,Great Britain,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,22,Great Britain,Female
,,,,,,,,,,,,,,,Judo,20,Azerbaijan,Female
,,,,,,,,,,,,,,,Wheelchair Fencing,33,Hungary,Female
,,,,,,,,,,,,,,,Taekwondo,32,RPT,Male
,,,,,,,,,,,,,,,Swimming,24,Israel,Male
,,,,,,,,,,,,,,,Swimming,29,Israel,Female
,,,,,,,,,,,,,,,Athletics,28,Sri Lanka,Male
,,,,,,,,,,,,,,,Athletics,20,United States of America,Female
,,,,,,,,,,,,,,,Swimming,27,Australia,Male
,,,,,,,,,,,,,,,Rowing,29,Canada,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,32,Germany,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,33,Germany,Male
,,,,,,,,,,,,,,,Table Tennis,47,Egypt,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,30,Great Britain,Female
,,,,,,,,,,,,,,,Swimming,22,Great Britain,Male
,,,,,,,,,,,,,,,Athletics,38,Niger,Female
,,,,,,,,,,,,,,,Table Tennis,41,Egypt,Female
,,,,,,,,,,,,,,,Athletics,30,South Africa,Male
,,,,,,,,,,,,,,,Triathlon,34,United States of America,Male
,,,,,,,,,,,,,,,Goalball,28,Israel,Female
,,,,,,,,,,,,,,,Athletics,31,Algeria,Female
,,,,,,,,,,,,,,,Sitting Volleyball,52,Bosnia and Herzegovina,Male
,,,,,,,,,,,,,,,Swimming,20,Australia,Male
,,,,,,,,,,,,,,,Athletics,29,Switzerland,Male
,,,,,,,,,,,,,,,Judo,32,Japan,Female
,,,,,,,,,,,,,,,Triathlon,35,France,Male
,,,,,,,,,,,,,,,Rowing,27,United States of America,Female
,,,,,,,,,,,,,,,Athletics,27,Morocco,Male
,,,,,,,,,,,,,,,Goalball,26,Ukraine,Male
,,,,,,,,,,,,,,,Athletics,29,Australia,Male
,,,,,,,,,,,,,,,Wheelchair Fencing,29,Poland,Female
,,,,,,,,,,,,,,,Judo,25,Ukraine,Female
,,,,,,,,,,,,,,,Wheelchair Rugby,33,Australia,Male
,,,,,,,,,,,,,,,Canoe Sprint,26,New Zealand,Male
,,,,,,,,,,,,,,,Equestrian,36,United States of America,Female
,,,,,,,,,,,,,,,Equestrian,61,Canada,Female
,,,,,,,,,,,,,,,Swimming,22,Great Britain,Female
,,,,,,,,,,,,,,,Badminton,45,Indonesia,Male
,,,,,,,,,,,,,,,Wheelchair Rugby,28,Japan,Male
,,,,,,,,,,,,,,,Wheelchair Rugby,18,Japan,Male
,,,,,,,,,,,,,,,Powerlifting,48,Egypt,Female
,,,,,,,,,,,,,,,Athletics,36,Egypt,Male
,,,,,,,,,,,,,,,Sitting Volleyball,46,Egypt,Male
,,,,,,,,,,,,,,,Shooting,25,Indonesia,Female
,,,,,,,,,,,,,,,Triathlon,39,Japan,Female
,,,,,,,,,,,,,,,Football 5-a-side,29,Morocco,Male
,,,,,,,,,,,,,,,Athletics,20,United States of America,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,32,Canada,Female
,,,,,,,,,,,,,,,Rowing,30,United States of America,Male
,,,,,,,,,,,,,,,Canoe Sprint,30,United States of America,Male
,,,,,,,,,,,,,,,Swimming,16,Australia,Female
,,,,,,,,,,,,,,,Wheelchair Fencing,62,United States of America,Female
,,,,,,,,,,,,,,,Rowing,35,Israel,Male
,,,,,,,,,,,,,,,Athletics,21,People's Republic of China,Female
,,,,,,,,,,,,,,,Archery,26,People's Republic of China,Male
,,,,,,,,,,,,,,,Wheelchair Fencing,53,Canada,Male
,,,,,,,,,,,,,,,Boccia,31,France,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,40,Canada,Male
,,,,,,,,,,,,,,,Athletics,29,Azerbaijan,Male
,,,,,,,,,,,,,,,Athletics,53,Finland,Female
,,,,,,,,,,,,,,,Athletics,22,United States of America,Female
,,,,,,,,,,,,,,,Archery,31,Turkey,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,20,Germany,Male
,,,,,,,,,,,,,,,Athletics,17,Netherlands,Male
,,,,,,,,,,,,,,,Athletics,33,Australia,Male
,,,,,,,,,,,,,,,Wheelchair Rugby,34,United States of America,Male
,,,,,,,,,,,,,,,Canoe Sprint,36,Canada,Female
,,,,,,,,,,,,,,,Athletics,31,France,Male
,,,,,,,,,,,,,,,Swimming,19,Netherlands,Male
,,,,,,,,,,,,,,,Canoe Sprint,33,Great Britain,Female
,,,,,,,,,,,,,,,Athletics,34,Sri Lanka,Male
,,,,,,,,,,,,,,,Football 5-a-side,25,Argentina,Male
,,,,,,,,,,,,,,,Swimming,19,United States of America,Female
,,,,,,,,,,,,,,,Swimming,17,Paraguay,Male
,,,,,,,,,,,,,,,Athletics,32,Colombia,Female
,,,,,,,,,,,,,,,Powerlifting,30,Mexico,Female
,,,,,,,,,,,,,,,Swimming,29,Mexico,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,28,Colombia,Male
,,,,,,,,,,,,,,,Swimming,25,Spain,Female
,,,,,,,,,,,,,,,Swimming,26,Mexico,Female
,,,,,,,,,,,,,,,Powerlifting,46,Venezuela,Female
,,,,,,,,,,,,,,,Athletics,31,Germany,Female
,,,,,,,,,,,,,,,Swimming,23,United States of America,Female
,,,,,,,,,,,,,,,Athletics,38,Sri Lanka,Male
,,,,,,,,,,,,,,,Wheelchair Tennis,23,Great Britain,Male
,,,,,,,,,,,,,,,Wheelchair Rugby,36,New Zealand,Male
,,,,,,,,,,,,,,,Swimming,32,Great Britain,Female
,,,,,,,,,,,,,,,Cycling Road,36,Australia,Male
,,,,,,,,,,,,,,,Cycling Track,36,Australia,Male
,,,,,,,,,,,,,,,Sitting Volleyball,52,Japan,Male
,,,,,,,,,,,,,,,Athletics,36,Nicaragua,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,29,Canada,Male
,,,,,,,,,,,,,,,Athletics,34,United States of America,Male
,,,,,,,,,,,,,,,Athletics,41,Japan,Male
,,,,,,,,,,,,,,,Cycling Road,46,Peru,Male
,,,,,,,,,,,,,,,Athletics,24,Morocco,Male
,,,,,,,,,,,,,,,Swimming,25,United States of America,Male
,,,,,,,,,,,,,,,Cycling Road,39,New Zealand,Male
,,,,,,,,,,,,,,,Shooting,28,Germany,Female
,,,,,,,,,,,,,,,,120,Japan,
,,,,,,,,,,,,,,,Football 5-a-side,36,Japan,Male
,,,,,,,,,,,,,,,Athletics,25,Jordan,Male
,,,,,,,,,,,,,,,Taekwondo,31,Jamaica,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,32,United States of America,Male
,,,,,,,,,,,,,,,Boccia,33,Great Britain,Male
,,,,,,,,,,,,,,,Wheelchair Basketball,39,Japan,Female
,,,,,,,,,,,,,,,Judo,39,Japan,Male
,,,,,,,,,,,,,,,Judo,41,Japan,Male
,,,,,,,,,,,,,,,Judo,30,Japan,Female
,,,,,,,,,,,,,,,Boccia,36,Japan,Male
,,,,,,,,,,,,,,,Wheelchair Rugby,37,Canada,Male
,,,,,,,,,,,,,,,Table Tennis,36,Australia,Male
,,,,,,,,,,,,,,,Wheelchair Rugby,29,France,Male
,,,,,,,,,,,,,,,Boccia,27,"Hong Kong, China",Female
,,,,,,,,,,,,,,,Athletics,23,United States of America,Female
,,,,,,,,,,,,,,,Swimming,19,Australia,Male
,,,,,,,,,,,,,,,Athletics,32,Australia,Male
,,,,,,,,,,,,,,,Judo,24,Great Britain,Male
,,,,,,,,,,,,,,,Goalball,24,Germany,Male
,,,,,,,,,,,,,,,Cycling Road,42,Belgium,Female
,,,,,,,,,,,,,,,Cycling Track,42,Belgium,Female
,,,,,,,,,,,,,,,Badminton,22,Netherlands,Female
,,,,,,,,,,,,,,,Wheelchair Basketball,25,United States of America,Female
,,,,,,,,,,,,,,,Sitting Volleyball,34,United States of America,Female
,,,,,,,,,,,,,,,Athletics,19,Australia,Female
,,,,,,,,,,,,,,,Badminton,32,Thailand,Male
,,,,,,,,,,,,,,,Archery,35,Thailand,Female
,,,,,,,,,,,,,,,Swimming,17,Ukraine,Female
,,,,,,,,,,,,,,,Athletics,26,Colombia,Male
,,,,,,,,,,,,,,,Rowing,22,Canada,Female
